Id,Country,Medal,mixed,sumcount
93,Slovakia,Silver,SlovakiaSilver,39
94,Slovenia,Bronze,SloveniaBronze,49
94,Slovenia,Silver,SloveniaSilver,12
94,Slovenia,Gold,SloveniaGold,10
95,South Africa,Silver,South AfricaSilver,24
95,South Africa,Bronze,South AfricaBronze,19
95,South Africa,Gold,South AfricaGold,25
96,Soviet Union,Bronze,Soviet UnionBronze,30395
96,Soviet Union,Gold,Soviet UnionGold,67589
96,Soviet Union,Silver,Soviet UnionSilver,29003
97,Spain,Silver,SpainSilver,4367
97,Spain,Bronze,SpainBronze,1230
97,Spain,Gold,SpainGold,2595
98,Sri Lanka,Silver,Sri LankaSilver,1
99,Sudan,Silver,SudanSilver,1
100,Suriname,Gold,SurinameGold,1
100,Suriname,Bronze,SurinameBronze,1
101,Sweden,Gold,SwedenGold,150
101,Sweden,Silver,SwedenSilver,2094
101,Sweden,Bronze,SwedenBronze,469
102,Switzerland,Bronze,SwitzerlandBronze,160
102,Switzerland,Gold,SwitzerlandGold,42
102,Switzerland,Silver,SwitzerlandSilver,287
103,Syria,Silver,SyriaSilver,1
103,Syria,Gold,SyriaGold,1
103,Syria,Bronze,SyriaBronze,1
104,Taiwan,Bronze,TaiwanBronze,42
104,Taiwan,Silver,TaiwanSilver,418
104,Taiwan,Gold,TaiwanGold,4
105,Tajikistan,Bronze,TajikistanBronze,1
105,Tajikistan,Silver,TajikistanSilver,1
106,Tanzania,Silver,TanzaniaSilver,4
107,Thailand,Bronze,ThailandBronze,24
107,Thailand,Silver,ThailandSilver,6
107,Thailand,Gold,ThailandGold,15
108,Togo,Bronze,TogoBronze,1
109,Tonga,Silver,TongaSilver,1
110,Trinidad and Tobago,Gold,Trinidad and TobagoGold,1
110,Trinidad and Tobago,Bronze,Trinidad and TobagoBronze,6
110,Trinidad and Tobago,Silver,Trinidad and TobagoSilver,26
111,Tunisia,Bronze,TunisiaBronze,1
111,Tunisia,Gold,TunisiaGold,1
112,Turkey,Bronze,TurkeyBronze,43
112,Turkey,Gold,TurkeyGold,40
112,Turkey,Silver,TurkeySilver,31
113,Uganda,Silver,UgandaSilver,1
113,Uganda,Bronze,UgandaBronze,1
114,Ukraine,Bronze,UkraineBronze,1722
114,Ukraine,Gold,UkraineGold,290
114,Ukraine,Silver,UkraineSilver,514
115,Unified team,Bronze,Unified teamBronze,4356
115,Unified team,Gold,Unified teamGold,8464
115,Unified team,Silver,Unified teamSilver,4225
116,United Arab Emirates,Gold,United Arab EmiratesGold,1
117,United Kingdom,Bronze,United KingdomBronze,5116
117,United Kingdom,Gold,United KingdomGold,2428
117,United Kingdom,Silver,United KingdomSilver,3089
118,United States,Bronze,United StatesBronze,31023
118,United States,Gold,United StatesGold,117624
118,United States,Silver,United StatesSilver,47123
119,Uruguay,Silver,UruguaySilver,1
120,Uzbekistan,Bronze,UzbekistanBronze,18
120,Uzbekistan,Silver,UzbekistanSilver,7
120,Uzbekistan,Gold,UzbekistanGold,6
121,Venezuela,Silver,VenezuelaSilver,2
121,Venezuela,Bronze,VenezuelaBronze,14
122,Vietnam,Silver,VietnamSilver,2
123,Virgin Islands*,Silver,Virgin Islands*Silver,1
124,West Germany,Bronze,West GermanyBronze,5540
124,West Germany,Gold,West GermanyGold,2426
124,West Germany,Silver,West GermanySilver,7421
125,Yugoslavia,Bronze,YugoslaviaBronze,2302
125,Yugoslavia,Gold,YugoslaviaGold,2752
125,Yugoslavia,Silver,YugoslaviaSilver,1824
126,Zambia,Bronze,ZambiaBronze,1
126,Zambia,Silver,ZambiaSilver,1
127,Zimbabwe,Gold,ZimbabweGold,258
127,Zimbabwe,Bronze,ZimbabweBronze,1
127,Zimbabwe,Silver,ZimbabweSilver,10
